Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Categoría,Dominio Limpio
12/11/25,Brechas en la calidad del servicio de energía eléctrica entre el sector urbano y rural en el país,https://news.google.com/rss/articles/CBMiygFBVV95cUxQcndsZmpzdy10WGI4dG12UGZ5MXlqS21YRTV1X0puZ1E4M1E0TVhELU1zTUE5eVloYWJSeWxuWmVZNUptM0M4dTlVVXM4aW56UlQ1alZQdmc4WDYzbEVoNERnTlBMRDFJdXRDRWRyREFERTdNTlFvM2dKOFJJamxDWWdfcFNZRTZQcDZsR2xQSXRwTFM0b1ZPVlA0c0pEdEQtLUNmcmtYcFA4Q2x0aVlGQWNVVmFmcVE2eU9RRllKLWc5Um9zbm5xd1Bn?oc=5,diariodelsur.com.co,Energía eléctrica,"['eléctrica', 'urbano', 'rural']",Neutral,,Otros,diariodelsur.com.co
01/12/25,Sin energía eléctrica estará la zona rural de Sabanalarga este martes 2 de diciembre,https://news.google.com/rss/articles/CBMiywFBVV95cUxPU1NwWUUzSENQZENVWU1EVGVjSi15cjdRWTRUVVBaSnBhMDUxZGN3WGlnQnA2d2R3bVVRZjVlbXVHYWNFeDZjWVd3a056WFE4MGxyX2ZzQXlaLUtWckt4Z0hZXzgwT2ZFazJDb2NPVk41ZmVndTlQbFIxTXdxQnZabEQyV1hvRG8tWndjY1FFRTdILUdiRGl2dVN0Y0pjblpSWnp3R2tTeklweUdaVjNaU1pBLUtxRklkUTdrdVZvUHV5Q1U4MW1ra3YwWQ?oc=5,diariolalibertad.com,Energía eléctrica,"['eléctrica', 'rural']",Neutral,,Otros,diariolalibertad.com
22/11/25,Cautela con la energía eléctrica,https://news.google.com/rss/articles/CBMitgJBVV95cUxPQ2RwTHdhQ2RrSVB6MGlQcF93SlR0U3p5cUxuRVAzV2YwdTNpcXFJM2t1RjBWbmN5TEZGV0dEaEtheVI0Z0tGdXlIajZGcnRVMC1mcmlUU0d4OTllenl3ZUZ0RmlUMTFFZG9SSmhVYlBEdE9lbWpwNzdVdURHZVZnbHB0R3BvOE5fWGVWc201cVJXeEUwSU1FMFRaRkU2SDhGa2VLck5kMjhIUTNaMF9JSDVPZ2loSFUwX1hrcE5GMFA1SFF3M3BzQXFIcmZKWjBtenBqckV1TE12RU5lVW1TbWQ2aWFpSnd6dW9uMU9BRWpLbF9kRUhoNnh5VkpyWnZHMUJyeGxtd1d6WkdmV2g3eUtDNTM2dVp6ZVZxbXo3N19wTExpZDdSY0Q5VHA3dVZ6bTBfbkN3?oc=5,lapatria.com,Energía eléctrica,['eléctrica'],Neutral,,Otros,lapatria.com
25/10/25,CFE restablece al 100% el suministro de energía eléctrica en estados afectados por inundaciones a dos semanas de la emergencia,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNaGtfUGV0TUtTMkJXQ0c4VGl5Vl82bXBERloxakVtTmNucUNqZWlua19YWDBmUUcyWVJlZnFiRWdRSW16d1BybERSQlRMNFQ0aEM4M1BiRmpZVFNpX2ZaaWJSa1h6UzFUMjZreWlKM2d4TU5mUWFJa0hoc2ljTDNoMjlVMlBGbGJxeXQ0bmF4WUhyMV9mbzRrdk0tLXdwcW45dXBTN2toYTZiUUtPZUd0YUwzNEFwRVo2N2kxRHZzOWZJN1plb1BLNlR2aVQxX2lscUJIY1dtbi1nQjcyTEpvd090ZDhGNkJqZVh6cjVHMURUUW5CMTgtZmNsb2U?oc=5,infobae.com,Energía eléctrica,"['eléctrica', 'afectados']",Negativa,afecta,Economía,infobae.com
02/10/25,Petro acusó a hidroeléctricas de especular con los precios de la energía eléctrica en Colombia: “Quieren el fin del gobierno para volver a su fórmula estafadora”,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPNkpueklyT2huTW5RLUNuM1dhQkVUa005enBtNFZLRm5ma0ljckM1dEgtaUJqcHhkN0xKNmNGMnRfUVR1d3VmeFNic0l1dWNacnM5WklJR1ZZMlpYdEtDcmttUnpVSEVWNjI5U1M2RFBNaUpEeU15NFNDWmN3aXZ1OFR4RWxFQTMtbmk3c1hYcVVPMUNrUWUzR3U1UE9sNzktNW5VTVpJczNOUTJERFh6Y1gtSm9MeXc0akpIS2ppMUpzYldIRnJUV3ZueDNETldFXy0wZDJEbHJ4QWpDaVgxdFMzNHNPVU16NVpVM3NfMTFsb3hwRXfSAZACQVVfeXFMTTFyTFVHckQzdWdob1Y0ZmZSQzJSWTUxcUxxS08zU25qUVhXYTZUUElxV3JZNjJnaE1jNkVQTWk1V0E2UnNfbDFkV1U4RzE5UTZYNkhrWXZ1em1LdFZ5TVlNM3N0OUI2RmFrOGFaYkF2QTc1YndQb09hOGh2OGNsLTVLNXpRbnJSMF9UUWpRdlhWZUhUOEwwNDJFeHZxdVBXdXZzTlZDZzZCSXdpdkItRXBmdmI0bzk4MDhuNmdSeW5UZF9lWkpJckR4NWZmQUhaR0tIMDBwbDJ4QXIxaXUwd1RaUUxUTnJ6ZGF4NDJlWkRFYVZpLXlfaTd2bEtoNTZGQlVQbWhabEFTSHJwQVZaSGk?oc=5,infobae.com,Energía eléctrica,"['eléctrica', 'estafadora']",Neutral,,"Exterior, Economía",infobae.com
01/10/25,La demanda de energía eléctrica en Cuba supera el doble de la capacidad: habrá apagones en más de la mitad del país,https://news.google.com/rss/articles/CBMigwJBVV95cUxOLVViaDZadm93QkNHcTVmTmhxMzdJa0JfWFE0YzJMZHljbC1WUlFwOEZGajdqblNWa1lwQkZpZEg5R3J6MUtzUnhTWC1ZTUNDVEZqc201RVA0WGk5U21qOW1Cc3ZkYXg5bklQckN3YkNJWk1GNkNhSUtkQm84ZUZFbTl2LVZxRzAxOFFBdnpjZ3B4VVhvSXNidlNmaXlzaGhkbTFfMThJRVppVFJWYVd5a29nZ2xGLXBVcGdwRXBBclRCeTU0cW84QWdZR3JIWWpONWdDcVVyeGxJY1pQZW10Y0Vhbk9KMGFObzQyVDFvUFRPMEZIbE56NG5CRExOUGp3UEkw0gGeAkFVX3lxTFB6cHBBeEVwUTJ0SWxXQ0lqY0tpdi1xU0xYMmdlUFhsbUwzeXRQTmVQOVZyNjd3cjZMdm5kb2hKcUF5OWNKZXBOXzQxVDdpT0hVTkQtRms5MTdibXZuQVdWTWF1Qk1kSHhoVnhBa1BRNWxGdHBNanZ5ZG1fTG1RUExKRWdudEZnNVhWTklzYm9URFUtMGNMUVVsYVlfbHBTRHA2REk3eWt2SmVZbDkzM3ppLV9mWGU2ZEVtNG1pMnU1cmFmbUtjN0FQaG9vaUlTa1hScDdEMENlMzFsUDVraGw1V3N1WmJKUzExOF9zNWxiWHhOS0xod05kTXh5SUlTQjFJYlRzOHlnRlYyLVVRSmI3MDBSRnRCX0F1Q0ZlTXc?oc=5,infobae.com,Energía eléctrica,['eléctrica'],Neutral,,Otros,infobae.com
30/10/25,ISA negó tener acuerdo con Venezuela para suministrarle energía eléctrica: advirtió a Gustavo Petro de posibles sanciones,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPMHlYX2ZMT2tLMllPb3JYSTZ6NWoyZlJVUjloWWw3Nm5wbFMyWWNHS2hTWWRaWllIb2ZHLS03SWgwSkpWaEVXaTVmR3NuOFcyOFpub2dXNVRUNmsyX2FvREo3bHF5S21iM2NyZ2NQMXI4Q2g0cUNhOWVrYUl5bDYwd3Z1VjdCeTV4T0lzYkJqNEJpVmZPRkRIdUMzbG5XZWt1Y2ZaZlJuUmxYdE5mWTkyLUVRTEIyTU0zZkE1REd0UUdzeU9UU0RLdW5qMjBtUWZHWFczbTBBVEFGMXc3dUNQWnB4Z1FmRUxrVXp5OFhpa1d3TU1WM2J4NtIBkwJBVV95cUxNbjhqRXVtRzZTU3gtbVd5Y2VqaGc0Wm1zVjV5dTJmMHJBX09XbVdsQVRHcFFVS1ludzFXTkdENVV5eERydERrYmpSVzRtWTdYUzNHWTZBNjQ1MlRQV3c1emtBZGFUSm9wbzkwLWRzUmE5T25USDNsSGw0RU5tbEFFYzZWZlg5Wmw2NWRtZkM0ME1FbDhvVlk3WkxFY3RkamtwNFhEenpmQzk3YnVNRlc4aDJlcnMxNy1XUFVhNG9ubGhab2JFcHg2d0w2bVQ2Z3otZDkyUUh1My1lellfbVI2WXFVZzVTMFhOYlJ1bk5GTDRmTVY2R1NCUW43eFFrUnB1OTNZVGFBbTdYMjFWT255ekNBbw?oc=5,infobae.com,Energía eléctrica,"['eléctrica', 'posibles']",Neutral,,Exterior,infobae.com
25/09/25,"Retrasos en proyectos eólicos y solares en La Guajira impactan tarifas eléctricas en la región Caribe, advierte Paloma Valencia",https://news.google.com/rss/articles/CBMigwJBVV95cUxNbTd4bUJCMktLczdMNTNqQzVBSk8ycHp4Ty1BLVdHNFdFN1RvcWZWdl9pem9QaWREZ1ZsRmRQYzNKWWJvdFo4c0dIY1ZXNEZkemxoYjROdDJZaXFjSmIya1g0a0o0NU1FYkhvaEdZVS03Y0dxMkRqLTJrbld0M2haRDN5WEN2UDk0SExrVW82RUJJWlpBS05fRWhuUXNTRTBZTDVLRlFjX2JyTS14Uko3VjZLd2RJSjgzVHZEV3ZkZ1doZFVtSUlHWkF0QXZacTdYSC01WHpZM295YmpDSXhjVFZLTGhyRDZiN1p1WWJ6d050cjNfem84eElhZmpITmpfN0Iw?oc=5,diariolalibertad.com,Tarifas eléctricas,"['eólicos', 'eléctricas']",Negativa,retrasos,Economía,diariolalibertad.com
30/09/25,"Se acerca el mantenimiento de planta de regasificación, del 10 al 14 de octubre. Al fin, ¿habría riesgo de desabastecimiento de gas?",https://news.google.com/rss/articles/CBMikwJBVV95cUxPV1E2elBSendFOTBDZ0Nsd2h6dXo5MTlwZ0ZDN2FSbXFBUTFCeExUM1lfV21tT0NLUzNTa1Q2ZURKam1XSXN0U1oxTEZDcjN3Smk0OTZCcTJ0OFhyLTYwVkNiNjZHMERLM1dOTlZ0Z2duSF9ONHczSWdoY0Vqb19WR1hoZ0JHempWZk5UVkZZbWYtV2lWU010Ui1JRTdUeENuRGU2bVBqdERwU0hhX2Q2VkZXTk01aUFock1hc19nc25Td3ZsMlpOU0hzLTlEbElieWJBSlM3cWVaR2dYMk9lcmlGYmZIRlc2MDloT3lVSDZHdGxyal9XWFFWV0xuSGhrSHJ2cC16TU5HZENvb3dkZzVqNNIBmAJBVV95cUxPS1prV05vRVJsX1RuUHNvTy00X09wRXhyTGNVckZQZE1kU0Z0MnpXQzBGRzFFNEtZamR4MFc1azFRSGZGUC14eUpaQVhpeW1SSlU2dkhLUDFvV1UzYUZmNWVkLVZtVU53UGY2OU0wVEhDM0wwb01hcUE2VmkycXU2U0Z1UHV3a21qSXBKS2dCZFp1X3hzYTBwMHo5bkc4OERMcjh4bFNfUk82akJXM0JLTmZ5SGNfeVIzNjVhbHVRZi0wZFVlbjcxYWY1MTIycEcwQ19nZ2pzbHRDVVd5Wk5MeXpWNTI4WmhtWjRKc3lYcllHRE9idW83SEJoSHh6TlQ0aW5nbTNVYVF0MV9rQWEtcXFGU2tsMHhQ?oc=5,semana.com,Regasificación,[],Negativa,riesgo,Otros,semana.com
11/09/25,Así es el proceso del proyecto de regasificación de Ecopetrol en el Caribe colombiano,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPTGFJakR3aHhjSEpUMW5jSXk3cVNVTi1PY1lHM3hoMm9tMGQ3UWM5TGJtdDdTZ0lOMnFhemtVaGdfMV9tVnpQdk9IQXJ4T3FsdU9wSzVTRlAwX0Q4anE0TkdRV3VuN09ydDdTNmgybDIyaWdYVlZ5NXlqeW5KYk1tZzFteVhnUGJncldTdkI0NFRyNkZOclhiMU50NExEWTNzSngxZ0dwV0cwekNWeG96VnVQOF8wbDF0ZURlT2gteFByS0hOZHdjTW9fcjZXX29SWEtiemdnRdIB3AFBVV95cUxPZWNjbXBTNmZBT1YwWVo2V2lRUGx4MkhMX3hSeDY0bC1xV25TRkF4cnp3TEhpb1B3OUJScTFqMGhMdUlXVlFBMWpyT2V3UVU4TVcyN0pLTEY5YWRUczNNMkphcE9DZHJncDZFUVVVV1pLRDIwc0Z5OU9jSEdlRlpSVzZ2RHhBTmI4dEJscGpjbnR1NVpXNmlnbGowQVFrOV9IQmd3cDc2NlRVR1FaZkYyMy1uWWlnTE5KYUFCSVNIaVJIYW1tR1RpOWctWWpvcDJXMXY0a1A2Y3o5UWxt?oc=5,semana.com,Regasificación,['colombiano'],Neutral,,Exterior,semana.com
